"Note: Extra time is compared against the fastest machine for 10,000 sheets."
Die,Machine 1,Machine 2,Machine 3,Machine 4,Machine 5,Machine 6
,No valid speed data,,,,,
6934,FLAT (31200) - fastest,,,,,
7414,75 (27803) - fastest,INT (24971) - +0h 2m,DIANA (14622) - +0h 19m,,,
7440,75 (45739) - fastest,,,,,
7484,75 (22410) - fastest,,,,,
7508,75 (14494) - fastest,ALPINA (11798) - +0h 9m,DIANA (10647) - +0h 15m,115D (10011) - +0h 19m,110WP (9770) - +0h 20m,
8128,75 (29091) - fastest,110WP (19314) - +0h 10m,DIANA (18130) - +0h 12m,115D (13374) - +0h 24m,,
8144,110WP (39316) - fastest,ALPINA (34554) - +0h 2m,DIANA (34436) - +0h 2m,,,
9507,75 (33055) - fastest,110WP (31673) - +0h 1m,ALPINA (27040) - +0h 4m,,,
9999,No valid speed data,,,,,
10017,75 (32487) - fastest,,,,,
10078,FLAT (26821) - fastest,,,,,
10222,110WP (25720) - fastest,,,,,
10285,75 (22713) - fastest,115D (16618) - +0h 10m,DIANA (13962) - +0h 17m,110WP (11197) - +0h 27m,,
10287,ALPINA (11251) - fastest,,,,,
10479,FLAT (15593) - fastest,,,,,
10483,FLAT (12365) - fastest,,,,,
10484,FLAT (15263) - fastest,,,,,
10927,ALPINA (6606) - fastest,,,,,
11006,75 (32775) - fastest,,,,,
11008,75 (29093) - fastest,ALPINA (25657) - +0h 3m,115D (11003) - +0h 34m,,,
11009,75 (18166) - fastest,DIANA (11854) - +0h 18m,,,,
11029,75 (25086) - fastest,,,,,
11331,75 (16042) - fastest,110WP (10455) - +0h 20m,,,,
11609,FLAT (33375) - fastest,,,,,
11610,FLAT (16918) - fastest,,,,,
12010,75 (39610) - fastest,,,,,
51038,110WP (17224) - fastest,,,,,
60098,FLAT (19407) - fastest,75 (16100) - +0h 6m,,,,
60982,ALPINA (10263) - fastest,,,,,
61064,75 (24440) - fastest,110WP (18876) - +0h 7m,,,,
61333,75 (35149) - fastest,INT (28495) - +0h 4m,DIANA (15269) - +0h 22m,110WP (13077) - +0h 29m,,
61930,110WP (11715) - fastest,DIANA (10391) - +0h 7m,ALPINA (9927) - +0h 9m,115D (9158) - +0h 14m,,
62071,110WP (15179) - fastest,115D (9585) - +0h 23m,,,,
62765,FLAT (12969) - fastest,,,,,
62854,ALPINA (7353) - fastest,110WP (4900) - +0h 41m,,,,
63236,110WP (8540) - fastest,,,,,
63575,ALPINA (6160) - fastest,,,,,
63809,75 (27855) - fastest,ALPINA (24460) - +0h 3m,115D (10331) - +0h 37m,,,
63886,75 (57137) - fastest,,,,,
64259,75 (26866) - fastest,ALPINA (22689) - +0h 4m,110WP (17572) - +0h 12m,,,
64340,75 (34883) - fastest,INT (27593) - +0h 5m,110WP (17093) - +0h 18m,115D (12255) - +0h 32m,,
64610,75 (29700) - fastest,FLAT (21358) - +0h 8m,,,,
64625,FLAT (13883) - fastest,,,,,
64873,FLAT (26297) - fastest,,,,,
65217,ALPINA (8360) - fastest,,,,,
65345,75 (44361) - fastest,DIANA (41946) - +0h 1m,,,,
65353,75 (29407) - fastest,INT (24120) - +0h 4m,,,,
65590,DIANA (4727) - fastest,,,,,
65731,FLAT (20586) - fastest,,,,,
65891,110WP (17101) - fastest,,,,,
65936,INT (46190) - fastest,110WP (42720) - +0h 1m,,,,
66024,75 (27800) - fastest,,,,,
66090,115D (15782) - fastest,DIANA (14805) - +0h 3m,ALPINA (12143) - +0h 11m,,,
66385,110WP (35919) - fastest,FLAT (31676) - +0h 2m,,,,
66495,110WP (29626) - fastest,FLAT (25050) - +0h 4m,,,,
66582,FLAT (14428) - fastest,,,,,
66729,FLAT (14707) - fastest,,,,,
67131,110WP (24320) - fastest,115D (21788) - +0h 3m,,,,
67733,FLAT (21783) - fastest,,,,,
68178,75 (38728) - fastest,INT (36705) - +0h 1m,110WP (30866) - +0h 4m,115D (17800) - +0h 18m,ALPINA (7836) - +1h 1m,
68230,INT (23392) - fastest,110WP (22933) - +0h 1m,115D (19444) - +0h 5m,,,
68231,INT (20977) - fastest,,,,,
68323,110WP (28650) - fastest,FLAT (19307) - +0h 10m,,,,
68392,110WP (7750) - fastest,,,,,
68418,FLAT (17696) - fastest,,,,,
68580,115D (3793) - fastest,,,,,
68724,FLAT (19474) - fastest,,,,,
68872,75 (31412) - fastest,110WP (22848) - +0h 7m,DIANA (17098) - +0h 16m,,,
69005,110WP (17001) - fastest,,,,,
69117,FLAT (16226) - fastest,,,,,
69122,75 (23533) - fastest,INT (17388) - +0h 9m,ALPINA (16512) - +0h 11m,,,
69380,75 (25341) - fastest,INT (18186) - +0h 9m,ALPINA (14030) - +0h 19m,,,
69400,75 (23453) - fastest,110WP (19793) - +0h 5m,INT (18293) - +0h 7m,ALPINA (16474) - +0h 11m,115D (12934) - +0h 21m,DIANA (12482) - +0h 22m
69402,75 (30053) - fastest,INT (22473) - +0h 7m,DIANA (14113) - +0h 23m,115D (9693) - +0h 42m,110WP (9201) - +0h 45m,
69620,DIANA (7286) - fastest,,,,,
69656,115D (11800) - fastest,,,,,
69769,75 (29718) - fastest,DIANA (16890) - +0h 15m,ALPINA (14594) - +0h 21m,110WP (12443) - +0h 28m,,
69862,FLAT (24021) - fastest,,,,,
69868,110WP (29746) - fastest,INT (29657) - +0h 0m,DIANA (16204) - +0h 17m,,,
69985,FLAT (45799) - fastest,,,,,
70112,75 (29561) - fastest,INT (22529) - +0h 6m,ALPINA (4701) - +1h 47m,,,
70469,75 (21822) - fastest,115D (13050) - +0h 18m,INT (12198) - +0h 22m,ALPINA (10115) - +0h 32m,DIANA (9657) - +0h 35m,
70800,115D (13775) - fastest,DIANA (11978) - +0h 7m,,,,
70845,ALPINA (28357) - fastest,,,,,
70946,INT (37144) - fastest,ALPINA (32362) - +0h 2m,110WP (32240) - +0h 2m,,,
70988,INT (52925) - fastest,110WP (29874) - +0h 9m,,,,
71215,FLAT (29023) - fastest,,,,,
71242,110WP (23921) - fastest,,,,,
71352,115D (8703) - fastest,,,,,
71353,115D (8886) - fastest,,,,,
71385,115D (6254) - fastest,,,,,
71408,INT (35113) - fastest,DIANA (21824) - +0h 10m,,,,
71534,75 (29233) - fastest,,,,,
71602,INT (51163) - fastest,,,,,
71622,FLAT (15717) - fastest,,,,,
71655,75 (29493) - fastest,,,,,
71699,INT (22317) - fastest,DIANA (20109) - +0h 3m,,,,
71731,110WP (7144) - fastest,,,,,
71811,INT (32874) - fastest,,,,,
71859,DIANA (20756) - fastest,,,,,
71873,FLAT (11795) - fastest,,,,,
71998,110WP (26357) - fastest,FLAT (23979) - +0h 2m,INT (23897) - +0h 2m,ALPINA (22556) - +0h 4m,DIANA (21358) - +0h 5m,
72059,ALPINA (28414) - fastest,,,,,
72117,75 (25073) - fastest,110WP (19384) - +0h 7m,,,,
72178,75 (46463) - fastest,110WP (34669) - +0h 4m,,,,
72198,75 (36151) - fastest,INT (28722) - +0h 4m,115D (17304) - +0h 18m,,,
72216,75 (29331) - fastest,INT (24144) - +0h 4m,ALPINA (21921) - +0h 7m,DIANA (9867) - +0h 40m,,
72217,75 (28265) - fastest,INT (23093) - +0h 5m,110WP (16455) - +0h 15m,ALPINA (15224) - +0h 18m,,
72234,75 (40821) - fastest,INT (35882) - +0h 2m,110WP (15152) - +0h 25m,,,
72235,75 (43832) - fastest,INT (33792) - +0h 4m,110WP (32947) - +0h 5m,ALPINA (26963) - +0h 9m,DIANA (17311) - +0h 21m,
72254,75 (34832) - fastest,,,,,
72357,FLAT (13118) - fastest,,,,,
72358,FLAT (18795) - fastest,,,,,
72407,INT (12546) - fastest,,,,,
72462,75 (15543) - fastest,110WP (15014) - +0h 1m,,,,
72533,FLAT (25912) - fastest,,,,,
72619,No valid speed data,,,,,
72623,ALPINA (8310) - fastest,,,,,
72688,ALPINA (12958) - fastest,DGM (10464) - +0h 11m,MONDINI4 (7188) - +0h 37m,MONDINI2 (1862) - +4h 36m,,
72727,115D (8067) - fastest,,,,,
72870,110WP (25075) - fastest,,,,,
72894,DIANA (15007) - fastest,110WP (2955) - +2h 43m,,,,
72904,75 (28380) - fastest,INT (25719) - +0h 2m,,,,
72928,ALPINA (6067) - fastest,DIANA (5908) - +0h 3m,,,,
72988,75 (25956) - fastest,,,,,
73039,75 (26290) - fastest,,,,,
73040,INT (32621) - fastest,110WP (31441) - +0h 1m,,,,
73041,DIANA (31649) - fastest,INT (27476) - +0h 3m,110WP (24828) - +0h 5m,,,
73117,75 (15833) - fastest,115D (15360) - +0h 1m,110WP (14475) - +0h 4m,,,
73147,75 (35615) - fastest,,,,,
73208,INT (46977) - fastest,110WP (40946) - +0h 2m,,,,
73210,DIANA (38396) - fastest,110WP (36978) - +0h 1m,,,,
73271,75 (25855) - fastest,INT (14714) - +0h 18m,DIANA (8608) - +0h 46m,,,
73296,110WP (12988) - fastest,,,,,
73329,INT (41702) - fastest,110WP (38517) - +0h 1m,,,,
73350,75 (42783) - fastest,115D (30626) - +0h 6m,,,,
73356,115D (12600) - fastest,ALPINA (9319) - +0h 17m,,,,
73373,75 (32561) - fastest,INT (22849) - +0h 8m,110WP (15000) - +0h 22m,115D (12281) - +0h 30m,,
73375,INT (43488) - fastest,110WP (34561) - +0h 4m,,,,
73413,115D (11192) - fastest,DIANA (9788) - +0h 8m,ALPINA (9754) - +0h 8m,,,
73469,115D (10625) - fastest,,,,,
73475,FLAT (19323) - fastest,,,,,
73539,115D (19563) - fastest,110WP (19492) - +0h 0m,DIANA (19059) - +0h 1m,ALPINA (16945) - +0h 5m,,
