"Note: Extra time is compared against the fastest machine for 10,000 sheets."
Die,Machine 1,Machine 2,Machine 3
6526,75 (35449) - fastest,,
8144,110WP (32682) - fastest,,
10078,FLAT (28373) - fastest,,
10285,110WP (24200) - fastest,,
10479,FLAT (22711) - fastest,,
12010,No valid speed data,,
61064,75 (18830) - fastest,115D (17818) - +0h 2m,
61333,No valid speed data,,
63831,FLAT (23948) - fastest,,
64870,DIANA (11550) - fastest,,
66090,110WP (20003) - fastest,DIANA (18639) - +0h 2m,
68178,75 (34961) - fastest,,
68349,INT (33736) - fastest,,
69330,110WP (32185) - fastest,,
69968,INT (56843) - fastest,,
70956,INT (58380) - fastest,,
71408,INT (57838) - fastest,,
71421,INT (54845) - fastest,,
71821,INT (55741) - fastest,,
71908,110WP (33070) - fastest,,
71998,FLAT (23275) - fastest,,
72168,75 (35232) - fastest,110WP (34235) - +0h 0m,
72179,75 (38910) - fastest,,
72216,75 (38892) - fastest,,
72254,75 (37723) - fastest,INT (35269) - +0h 1m,
72792,INT (54977) - fastest,,
72870,INT (55554) - fastest,,
72894,75 (36350) - fastest,110WP (30551) - +0h 3m,
72949,75 (30636) - fastest,115D (17650) - +0h 14m,
73040,INT (54728) - fastest,,
73261,110WP (28801) - fastest,,
73271,110WP (14015) - fastest,,
73413,115D (8914) - fastest,,
73474,INT (19470) - fastest,,
73475,FLAT (21625) - fastest,,
73760,INT (46092) - fastest,,
73829,DIANA (11314) - fastest,,
73899,110WP (31165) - fastest,,
74129,115D (18224) - fastest,110WP (15629) - +0h 5m,
74136,115D (17315) - fastest,,
74179,DIANA (13690) - fastest,,
74326,FLAT (32400) - fastest,,
74468,115D (4112) - fastest,,
74765,No valid speed data,,
74872,INT (59314) - fastest,,
74944,110WP (32674) - fastest,,
74946,FLAT (12221) - fastest,,
75044,FLAT (15180) - fastest,,
75052,75 (38179) - fastest,,
75092,110WP (21429) - fastest,,
75161,INT (46067) - fastest,,
75164,INT (38000) - fastest,,
75255,110WP (46445) - fastest,,
75259,INT (88647) - fastest,,
75301,DIANA (8580) - fastest,,
75354,75 (32647) - fastest,,
75390,110WP (58960) - fastest,,
75588,DIANA (9018) - fastest,,
75656,FLAT (16934) - fastest,,
75685,FLAT (16839) - fastest,,
75841,FLAT (26353) - fastest,,
75859,INT (56986) - fastest,,
75905,FLAT (4563) - fastest,,
75915,FLAT (6546) - fastest,,
75921,75 (51187) - fastest,INT (28030) - +0h 10m,FLAT (6571) - +1h 20m
75924,FLAT (3041) - fastest,,
75999,INT (43259) - fastest,110WP (30485) - +0h 6m,
76039,INT (57201) - fastest,,
76090,INT (57376) - fastest,,
76114,INT (55861) - fastest,,
76142,75 (34128) - fastest,,
76144,110WP (37601) - fastest,,
76196,INT (56002) - fastest,,
76211,110WP (23394) - fastest,,
76232,110WP (25601) - fastest,,
